u,v,w1,w2,w3
7822,15250,227,444,1
3633,15275,407,795,1
13570,14216,183,97,831
5969,15273,178,348,1
14590,15126,406,795,1
7593,7594,153,133,1
12094,15226,82,160,1
433,15010,241,470,1
358,14976,360,704,1
12823,15205,313,611,1
14093,14096,55,48,1
8853,9645,61,39,286
7080,7081,335,153,244
7621,15175,218,426,1
11791,11792,117,102,34
4722,10848,32,29,251
12943,15221,100,196,1
10246,15060,429,838,1
3208,15271,271,530,1
5624,15218,459,898,1
8721,15049,317,619,1
1834,1835,5,4,1
6611,15002,202,396,1
1630,1631,85,51,1
13734,13744,554,259,334
4958,15118,334,653,1
6295,15018,548,1072,1
13656,15141,240,469,1
3068,5948,56,35,153
11544,15267,159,311,1
1532,15000,297,580,1
6505,14968,304,595,1
10280,14974,302,590,1
5003,5517,90,81,152
13582,15008,224,437,1
13409,15133,374,732,1
2171,15136,60,117,1
13781,14144,237,206,1
4451,15026,266,520,1
11942,14983,281,548,1
8296,15157,86,167,1
1604,15004,381,746,1
5094,11755,53,46,1
8365,15070,386,755,1
14718,15284,319,623,1
14102,15118,295,577,1
6365,14990,819,1602,1
6074,15088,228,446,1
14174,15184,66,130,1
10022,10024,58,53,181
9415,14991,1070,2092,1
12778,12779,46,40,73
6402,15184,163,319,1
13984,15145,184,361,1
10431,12793,34,29,19
6312,14968,367,717,1
1593,14956,272,532,1
112,15065,630,1231,1
11793,14966,271,530,1
8003,15087,188,368,1
13501,14977,41,80,1
2178,15220,297,580,1
3246,8042,78,68,1
262,15049,271,530,1
7517,10057,61,53,1
6407,15184,168,328,1
11390,11391,87,55,191
14534,15096,136,266,1
4636,15003,383,749,1
11118,15073,301,588,1
12130,12767,83,73,89
6669,6670,30,26,1
5856,15230,237,462,1
884,15287,269,526,1
2575,15144,323,631,1
4732,4735,6,3,13
4454,15036,229,448,1
14408,15010,234,457,1
14210,15269,191,373,1
14181,14182,20,18,197
7893,15133,174,340,1
13561,13733,205,130,1514
12744,12745,39,34,89
13401,15085,192,375,1
2492,15073,203,397,1
1474,15271,169,331,1
11359,15295,331,647,1
6325,15047,333,651,1
2824,15123,73,143,1
14610,14615,12,7,42
1344,14976,254,497,1
13434,15056,384,751,1
9888,9890,32,29,135
4796,5535,68,29,2
7662,15024,32,63,1
10672,15099,273,534,1
10751,15257,52,101,1
3358,15238,255,499,1
419,14971,368,720,1
12524,14974,89,173,1
11376,15157,225,439,1
7440,15218,444,868,1
4082,15099,308,602,1
1035,14997,356,696,1
12150,12151,31,28,86
9461,15250,205,401,1
9480,15288,42,81,1
5377,15007,89,174,1
1709,14951,484,946,1
13972,14651,49,36,850
12105,15230,297,581,1
12638,15157,148,290,1
10900,15159,193,378,1
6583,14366,116,100,1
11987,14994,242,474,1
1533,15000,313,612,1
14085,15097,44,85,1
6964,15083,365,714,1
6514,6843,6,4,92
5517,15207,362,708,1
1206,15290,330,645,1
3076,15261,200,390,1
5861,6464,75,68,244
4795,15161,444,868,1
10058,15085,263,513,1
7675,15184,231,452,1
9549,11267,61,38,153
8892,15096,118,231,1
11022,14964,172,335,1
10860,15290,347,677,1
4381,15026,88,172,1
9011,15084,150,294,1
3570,15316,309,604,1
988,15291,260,508,1
7545,15030,327,639,1
1263,5732,83,72,7
8270,15173,63,123,1
1781,6679,15,13,1
5927,15222,325,635,1
12506,12507,73,63,9
3547,15320,153,299,1
7474,14983,921,1800,1
2996,2999,88,77,1
8298,8299,40,35,11
5242,15011,262,512,1
13819,15300,426,833,1
9853,13796,8,4,510
9274,14987,295,577,1
2750,15290,406,794,1
10562,15288,299,584,1
12211,12244,13,12,64
12419,13665,155,72,311
5727,5728,40,35,13
11043,11044,62,54,1
7627,15225,352,688,1
5849,5851,36,22,68
12122,15138,82,161,1
9723,15238,132,258,1
906,15040,373,729,1
5432,15273,177,346,1
3382,15242,391,765,1
2841,15179,271,529,1
11129,15100,253,494,1
9570,15078,162,318,1
5566,9417,64,45,651
14636,15120,150,293,1
6667,15261,147,286,1
12262,15166,40,78,1
9230,9234,41,36,70
1383,14981,183,358,1
5948,15256,321,628,1
13809,13810,373,162,13
2419,15300,444,868,1
12637,15185,85,166,1
4587,14989,325,635,1
113,15065,628,1228,1
3950,15089,359,701,1
4228,4230,6,5,16
10339,15259,296,579,1
13410,15228,183,357,1
10026,15013,258,505,1
13593,15215,36,70,1
3739,3741,5,3,302
13578,13776,237,105,121
3783,15062,308,603,1
5763,15005,278,543,1
13772,14986,367,717,1
12944,12945,31,28,93
463,14970,472,923,1
14321,15230,110,215,2
8832,15190,9,18,1
11371,12436,16,14,40
2657,15218,266,520,1
11148,15169,37,72,1
2935,6408,41,37,194
8478,15183,170,333,1
12473,15288,260,509,1
3735,3736,10,9,2
12530,12532,25,21,1
7382,7393,19,17,1
12321,15151,75,146,1
5238,5239,7,6,1
1921,15079,185,361,1
12268,15167,157,307,1
6484,15008,249,486,1
10773,12179,30,26,19
1776,15003,77,150,1
13035,15115,34,67,4
1361,15147,303,592,1
1687,15134,145,284,1
5334,15061,183,357,1
5777,14981,288,563,1
14767,14769,43,37,1
7918,15145,384,750,1
4663,15161,378,739,1
6377,6378,35,32,249
8806,12284,40,35,70
3683,15032,457,894,1
518,15221,291,568,1
2952,2953,45,44,519
11460,15250,289,566,1
2535,15213,198,386,1
11794,15008,142,277,1
12245,15223,156,305,1
14280,14281,21,18,1
5876,8371,6,5,1
161,15059,217,424,1
4958,4960,6,3,1
9299,15098,215,421,1
4353,4354,11,5,30
12615,14432,32,20,157
9562,15084,324,633,1
3086,14965,200,391,1
11009,15172,118,231,1
13813,15048,509,995,1
8240,8241,3,3,2
8686,15253,73,143,1
14467,14473,42,39,303
14045,14948,294,575,1
6874,15015,275,538,1
12481,12482,40,35,73
2104,15240,159,311,1
11042,15230,174,339,2
3316,15184,390,763,1
11759,12648,6,5,94
2965,15041,470,920,1
3563,3564,5,5,161
8071,15160,207,404,1
10065,15034,191,374,1
9792,15116,866,1694,1
5373,5374,53,46,5
3732,15025,135,264,1
14771,14772,22,19,1
11828,15061,133,261,1
1883,15084,283,553,1
12605,15275,37,72,1
12728,15259,169,330,1
3389,13811,210,91,11
10009,15201,325,634,1
11006,15172,95,185,1
10422,10423,32,29,98
10168,15275,91,177,1
10701,15276,203,397,1
10520,15217,287,561,1
2263,15038,758,1482,1
10965,10966,4,3,186
8497,15159,239,467,1
13553,14954,223,435,1
10648,15267,73,143,1
10426,15102,220,430,1
4351,13748,435,189,1
11107,15261,312,610,1
8403,15043,168,329,1
13086,15052,418,817,1
9189,15131,337,660,1
10683,15272,277,541,1
10505,15256,128,251,1
4286,15052,274,535,1
8735,8736,66,58,39
14345,15010,294,575,1
6024,15136,264,516,1
190,193,7,3,77
4289,15052,155,303,1
4897,15023,843,1647,1
7796,15255,266,519,1
5534,15126,297,580,1
7478,7479,44,19,5
13578,13783,66,33,633
13510,15133,732,1432,1
6092,15220,225,440,1
6792,6923,6,6,381
3283,3385,5,5,268
13197,14891,131,114,23
3458,15023,220,430,1
1790,15088,502,981,1
5933,5934,40,35,70
13075,15120,284,555,1
