u,v,w1,w2,w3
14195,15151,21,41,1
10113,15267,319,624,1
8953,15145,194,380,1
727,13724,34,15,1
12458,15302,606,1185,1
715,15160,297,581,1
8397,15231,89,174,9
2929,15228,179,351,1
3291,15156,299,585,1
5525,6654,132,115,1
13415,15022,287,560,1
2408,15068,359,701,1
9820,12410,82,71,1
12710,15209,42,82,3
9584,15172,259,506,1
4444,15162,515,1006,1
5461,5470,9,8,1
2430,15219,316,618,1
14525,14526,99,86,1
14766,14948,432,844,1
6749,15256,285,557,1
6572,6573,80,70,11
6225,6227,72,63,1
824,14236,7,4,197
1767,15088,191,374,1
12271,15167,158,309,1
3756,3757,5,4,1
13710,14989,327,639,1
10776,15156,237,463,1
14163,15048,340,665,1
582,13865,49,32,343
10325,10569,33,29,13
4889,4890,19,16,1
11686,13024,34,29,1
11954,13130,29,28,443
5508,15136,145,283,1
11515,15288,321,628,1
7286,7289,6,5,1
12286,12605,103,90,8
6100,15174,217,423,1
14322,15230,271,531,1
10270,15274,90,175,1
13002,15284,58,114,1
13915,15120,62,121,1
11523,12368,48,42,1
13146,15280,377,737,1
10139,15144,192,376,1
10342,15266,288,562,1
6281,15269,239,466,1
10101,15026,324,633,1
3786,5936,9,4,68
909,15268,278,543,1
5738,5747,73,47,325
7283,15032,410,802,1
14063,15149,216,422,1
5257,15048,721,1410,1
528,2916,6,5,37
8481,15182,92,179,1
5588,5672,51,44,1
12548,14958,111,216,1
14619,15088,152,298,1
1373,1755,59,36,91
496,15011,852,1666,1
9120,12442,39,34,7
12882,15036,219,429,1
1943,1944,81,70,11
2809,15214,203,397,1
3297,15221,328,640,1
4327,15263,63,123,1
13855,15128,365,714,1
13555,13557,546,296,914
5208,15245,273,533,1
11193,15254,425,831,1
7118,14991,417,814,1
8256,15146,36,71,1
11661,15269,25,49,1
6397,6398,76,70,269
4976,14954,372,727,1
6233,6241,227,98,1
2866,15011,427,835,1
7365,14141,45,31,674
8329,15280,125,243,1
349,15201,253,495,1
3366,15238,271,530,1
2549,15214,95,185,1
13217,15261,298,583,1
4515,15038,259,506,1
326,4603,20,18,136
7450,14879,28,25,94
3284,15156,303,593,1
9875,15187,339,663,1
12733,12734,126,110,1
14728,15088,340,664,1
2516,15102,285,556,1
13567,13568,101,47,350
6973,15161,223,436,1
9149,14955,237,462,1
11097,15161,155,304,4
7556,14987,354,692,1
808,6638,8,7,1
14609,15088,264,515,1
8318,8319,53,46,23
5640,15254,36,71,1
5394,14991,293,572,1
4461,15036,261,510,1
13106,15114,313,612,1
9451,14958,317,620,1
7325,14946,913,1784,1
3430,15094,393,769,1
11707,11708,75,65,1
6234,6243,132,60,240
11356,15157,121,237,1
11465,15250,254,497,1
4763,4767,7,3,100
10525,15203,152,297,1
3367,3369,17,10,43
11940,12230,273,237,1
12152,15269,77,151,1
4413,15187,32,63,1
2434,15212,141,275,1
13023,13797,7,4,1148
1950,15075,222,433,1
10543,15067,333,650,1
5805,5808,31,21,472
2450,15143,83,162,1
4043,15101,143,279,1
5743,15002,304,594,1
4689,15215,271,530,1
3307,15184,214,419,1
12599,15206,50,98,1
5843,7716,80,70,50
3714,15170,168,329,1
10613,15189,313,611,1
3312,15184,366,716,1
14017,15049,648,1267,1
2833,15144,352,687,1
13261,13590,413,187,217
9044,15097,371,725,1
12950,15052,104,202,1
1801,1808,17,15,1
4963,15103,209,408,1
13076,15120,282,552,1
11554,15288,284,555,1
8199,15246,65,127,1
3595,3598,51,23,208
6018,6052,24,13,893
10047,11417,41,38,303
12831,15276,243,474,1
7128,7129,22,19,1
5171,14954,164,320,1
3183,15284,271,530,1
3707,15022,329,644,1
9161,15129,271,529,1
8195,15248,170,332,1
12978,15171,74,144,1
13139,15231,408,797,1
3265,3267,64,55,11
14945,15020,229,448,1
1510,15006,625,1223,1
7808,15255,376,735,1
3698,15037,406,794,1
1590,15293,441,861,1
6808,15218,309,603,1
11400,15260,103,201,1
13343,13344,153,133,1
12391,12706,33,29,46
8722,8723,10,9,298
10142,15127,248,484,1
409,14971,616,1205,1
12325,15151,25,49,4
6551,15049,542,1059,1
13621,14952,332,649,1
3351,15298,343,671,1
6395,6396,77,67,33
12230,12524,81,71,46
12608,15135,179,350,1
14346,14348,108,94,1
12453,15160,250,488,1
2881,15296,299,584,1
14609,14617,81,51,217
13512,15181,319,623,1
7492,14522,71,62,1
11287,14957,332,648,1
13870,14530,121,107,133
5346,15287,308,603,1
9583,15172,262,511,1
6944,15021,71,138,1
13222,15249,290,567,1
12502,14959,225,440,1
3986,14965,205,400,1
8744,14955,297,580,1
11902,12459,44,38,19
5474,15182,212,414,1
13612,15144,112,219,1
549,15222,341,667,1
8265,15173,25,50,1
9563,15075,313,613,1
7645,15140,160,312,1
12211,14958,233,456,1
3347,15298,346,677,1
13329,15273,237,463,1
14078,14081,85,45,812
2999,3000,7,6,1
5758,5761,7,4,1
7819,15128,129,252,1
13990,15145,241,470,1
10760,12229,57,50,67
5946,14236,112,70,204
3807,15033,303,592,1
1374,15275,364,712,1
14475,15021,176,345,1
7295,7296,38,33,97
8251,15146,146,285,1
7514,14410,190,165,1
3006,15261,271,530,1
10345,15038,182,357,1
12307,15151,205,400,1
9600,14968,286,559,1
511,3281,32,28,114
6246,14949,689,1347,1
9807,9808,33,29,94
3360,15238,206,403,1
1324,14984,409,800,1
2017,15088,136,265,1
13593,14220,207,110,827
933,15005,323,632,1
13551,14954,421,824,1
14217,14995,273,533,1
9059,14962,320,625,1
14914,15153,116,226,1
14134,14136,33,30,314
7166,15133,415,811,1
9009,15084,172,336,1
8803,11484,35,31,1
706,15124,292,570,1
133,15020,214,418,1
5873,15030,234,457,1
11241,15254,306,598,1
2617,15020,386,754,1
7429,14734,15,13,1
6647,15214,40,78,1
11030,15283,285,556,1
7538,15092,430,840,1
10963,14992,228,445,1
9066,15289,105,205,1
12280,15179,152,298,1
6552,14952,618,1208,1
3533,15212,329,644,1
8908,15060,321,628,1
12515,15001,100,196,1
13968,15061,174,340,1
14290,15163,223,436,1
1201,7544,66,58,1
4211,4214,8,7,1
12446,12447,19,17,50
3875,15048,284,555,1
13899,14625,58,36,104
9757,15008,640,1251,1
12667,15060,294,575,1
10951,15292,171,335,1
11289,11290,8,7,332
7184,14990,1026,2005,1
4121,15122,298,583,1
6337,14980,379,741,1
2671,15053,310,605,1
8929,15242,275,538,1
13858,13859,99,64,356
13130,15202,125,244,1
7500,8645,37,32,1
11965,15213,37,72,1
1434,15276,352,687,1
2609,3387,8,7,154
3364,4558,52,36,546
2787,15088,338,660,1
8511,15216,26,51,1
7794,15255,392,766,1
13198,15298,162,317,1
5866,6067,7,7,401
5962,15230,251,491,1
3384,15242,310,606,1
1567,14971,155,303,1
11115,15218,351,687,1
4414,4417,50,48,444
13833,13835,80,70,1
978,15289,379,742,1
9900,15263,254,497,1
2159,15136,455,890,1
2420,15300,437,853,1
10118,15033,261,510,1
9761,15081,546,1067,1
11724,15266,130,255,1
6509,14968,298,583,1
7201,14966,342,669,1
124,15057,338,660,1
13266,13696,43,43,588
9606,14965,207,404,1
4027,15055,393,768,1
6297,6300,7,6,1
13135,15261,337,658,1
4884,15009,715,1398,1
7537,15092,445,870,1
3762,15064,364,712,1
13261,15124,149,292,1
11355,15157,101,197,1
7925,15207,58,113,2
13238,14987,183,358,1
13517,15165,90,177,1
4725,15128,247,483,1
2202,15273,292,570,1
5514,14970,367,718,1
1550,15006,1271,2484,1
6077,14986,343,670,1
427,15232,315,615,1
12935,15211,231,451,1
13010,14989,363,709,1
8020,15072,259,506,1
7423,15046,286,558,1
3161,15279,289,564,1
125,15028,315,615,1
12936,15001,373,729,1
9766,15098,292,572,1
10840,15163,291,570,1
3640,14985,305,595,1
7236,15006,586,1146,1
5459,6683,90,78,1
13722,14954,379,742,1
2312,2313,167,145,1
12299,15118,50,97,1
5932,15027,75,147,1
10706,14959,186,364,1
7296,15032,421,822,1
226,15185,301,588,1
12115,14994,120,234,1
14682,15169,193,377,1
5463,15062,201,393,1
13387,15070,136,265,1
11920,15283,127,249,1
10634,15158,210,411,1
5465,15038,228,446,1
12810,12811,16,14,47
131,15055,358,700,1
11154,13019,61,57,333
12976,15060,348,681,1
14093,15148,198,387,1
13297,15258,297,580,1
3083,15177,330,646,1
12269,15167,61,119,1
203,15027,94,184,1
3742,14982,203,396,1
14909,15152,46,90,1
4675,4682,29,26,1
9526,15249,196,382,1
893,14997,385,752,1
12848,13011,48,42,28
14420,14421,594,271,249
1130,14969,927,1811,1
13444,15123,173,338,1
14495,14952,393,768,1
11472,14999,365,714,1
5612,15171,266,519,1
8665,14971,282,552,1
6164,15094,193,377,1
1395,14982,310,605,1
12921,15192,176,345,1
2022,14955,364,711,1
7104,15134,157,306,1
11999,14969,559,1093,1
5952,15018,372,726,1
2011,15075,245,479,1
8716,15028,421,823,1
6861,15000,296,578,1
9726,14980,126,245,1
10389,15240,414,809,1
3246,15015,324,633,1
3718,15022,310,605,1
13362,15052,339,663,1
2234,15311,288,563,1
7175,14964,241,470,1
3009,15261,263,513,1
8702,15156,32,62,1
13790,15180,435,851,1
12406,14977,144,281,1
10633,13114,12,11,155
11123,15120,214,419,1
8796,10636,48,44,232
9289,14973,249,488,1
3002,15261,339,662,1
5569,15136,56,110,1
759,15038,334,652,1
11149,11150,15,13,240
1058,14969,944,1845,1
13592,15171,213,417,1
7909,15191,165,323,1
13803,14504,279,178,288
10485,15178,23,44,1
9813,14162,7,6,1
12756,15193,144,282,1
7508,14991,244,477,1
1440,15283,367,717,1
13752,15008,200,391,1
14622,15088,271,529,1
70,6853,2,1,1
12672,15200,246,481,1
2987,14954,323,632,1
11085,14976,126,246,1
6887,15065,385,752,1
11243,15269,356,696,1
12036,14984,118,230,1
14476,15021,104,203,1
11418,15260,231,452,1
10798,10875,34,30,1
6247,14949,549,1073,1
11653,12677,74,46,220
14480,14481,34,29,1
10684,15110,374,732,1
9108,15198,153,298,1
7611,14983,872,1704,1
10079,15101,143,280,1
8585,15033,229,449,1
10746,15254,332,648,1
11101,12526,70,61,2
2372,15174,276,540,1
8980,15158,174,341,1
11254,15287,281,549,1
10731,15283,363,709,1
7481,14983,822,1607,1
4526,5784,7,4,1
10551,15241,182,356,1
1957,15085,427,834,1
5811,15311,618,1207,1
