u,v,w1,w2,w3
13163,15181,263,514,1
13771,14985,324,634,1
5160,15198,192,376,1
5651,15060,11,21,1
10008,10009,7,6,437
5963,15230,212,415,1
672,15015,465,910,1
1378,14981,332,649,1
11331,11333,42,38,202
5892,15006,382,746,1
11389,11656,16,9,29
13107,13138,98,85,11
9065,15289,74,144,1
4319,15264,291,569,1
13537,15124,274,536,1
11078,15022,144,282,1
11774,15263,245,479,1
4904,7660,83,75,176
3468,14946,669,1308,1
13871,14948,368,720,1
11725,14954,356,697,1
7030,15134,190,371,1
11337,15189,72,140,1
1685,15134,23,46,5
4766,14954,397,777,1
11280,15006,311,609,1
6068,13731,90,83,287
4015,7270,30,26,17
614,6373,6,5,1
14103,15119,301,589,1
10955,15291,196,383,1
2721,15288,228,446,1
10053,15250,172,336,1
7193,15006,559,1092,1
4013,14964,434,848,1
5800,14996,295,577,1
6256,6258,266,116,1
14513,15001,350,683,1
4155,4156,6,5,1
3186,15284,265,519,1
14522,15038,305,596,1
661,15015,211,412,1
7674,15184,228,446,1
6078,13405,158,138,1
6475,15163,150,293,1
7026,15268,943,1843,1
12097,15283,164,321,1
10397,15240,301,588,1
5067,5068,122,108,123
4988,15222,329,643,1
3579,15224,338,662,1
138,15032,350,685,1
12788,15237,178,348,1
7911,15296,234,457,1
13944,15095,63,122,1
13110,13535,208,138,1716
3000,6006,57,37,345
2458,15018,616,1204,1
10385,15015,110,215,1
14168,15048,114,223,1
3716,15022,270,528,1
11850,15240,363,709,1
11947,15156,202,395,1
14927,14928,71,64,165
10091,15178,294,574,1
7794,12714,40,38,386
9365,15227,198,386,1
12315,15151,143,280,1
3255,15293,242,473,1
5573,15136,55,108,1
7488,7611,84,37,48
3918,15160,226,442,1
883,15287,271,529,1
13288,15193,182,356,1
9291,14973,268,524,1
5620,14025,41,35,1
14729,15088,308,602,1
5950,15162,312,610,1
10220,10221,81,55,565
14391,15161,393,769,1
4834,15099,77,151,1
13569,14208,228,111,515
1372,15275,349,682,1
6409,15184,166,325,1
14751,14948,137,268,1
1414,14989,427,836,1
12521,14981,283,554,1
7954,15032,104,204,1
14108,15110,391,765,1
3662,14523,13,11,1
3413,5941,8,5,1
9836,15126,303,593,1
3752,14947,236,460,1
3239,14072,40,39,544
10496,15052,295,576,1
4754,14995,269,527,1
2618,15021,397,776,1
3006,3065,5,5,204
10859,15290,372,728,1
8895,8896,41,36,9
536,15237,138,270,1
1563,14972,288,563,1
10858,14992,551,1078,1
14738,15227,205,401,1
7660,15023,666,1302,1
11224,15244,117,228,1
10600,15255,300,587,1
3800,15244,332,649,1
8315,15240,140,273,1
8682,14964,137,268,1
13116,15219,114,222,1
12556,15252,301,588,1
7182,14990,864,1690,1
14579,14580,28,25,92
13739,13740,257,112,20
6705,6706,46,41,115
5914,15116,534,1044,1
8047,15137,215,421,1
7366,14990,1184,2314,1
13933,15088,71,138,1
10511,15257,237,463,1
12153,12154,30,26,1
10086,15085,281,549,1
8435,15251,130,254,1
9656,15253,277,542,1
10840,10857,118,53,160
11100,14966,344,673,1
10504,15256,208,406,1
12037,14984,109,213,1
1801,13674,87,75,1
7235,15006,545,1066,1
12549,12550,45,40,126
305,15089,342,669,1
866,15267,331,646,1
4169,14985,403,789,1
13042,15241,36,70,1
898,14997,414,809,1
10788,15167,130,254,1
3983,15065,341,666,1
9180,15142,268,524,1
315,15244,332,649,1
14245,14997,241,471,1
3154,3156,7,6,218
3809,15033,338,661,1
6228,6229,51,47,265
302,15089,336,656,1
3076,3077,72,64,68
6311,14968,308,603,1
13634,14959,607,1187,1
5386,14991,217,425,1
14451,14455,17,15,60
5370,15110,231,452,1
4093,15096,384,750,1
7221,15169,284,556,1
9903,15263,342,668,1
4020,15215,242,473,1
2805,15214,122,239,1
13726,14955,499,975,1
8527,15123,26,51,2
6142,14987,212,414,1
5573,5574,13,6,165
14607,15088,276,539,1
6425,14962,166,325,1
8819,15217,218,427,1
3565,7754,9,8,1
355,15235,166,324,1
5250,14983,621,1215,1
14709,15097,69,134,1
5047,15204,219,428,1
5487,14997,87,171,1
11388,14963,476,931,1
7748,15120,135,263,1
9450,14958,407,795,1
4788,15161,428,837,1
3427,6166,6,5,1
1171,15058,131,256,1
11090,11632,272,236,1
10313,15298,114,223,1
3328,5227,48,29,74
13051,14727,15,13,1
7211,14964,190,371,1
11769,14983,671,1311,1
8887,15026,169,329,1
7476,14983,788,1541,1
5235,15011,1047,2046,1
11671,15157,263,514,1
12881,15033,335,656,1
1865,15078,335,654,1
5405,5406,33,29,1
7893,13663,15,7,7
1730,15134,334,652,1
5983,14975,460,900,1
335,15230,255,499,1
7074,15116,629,1230,1
7965,15133,218,427,1
8187,8188,47,41,23
6028,15305,276,539,1
6260,6261,199,88,109
14883,15204,368,719,1
3402,15242,315,615,1
7448,15190,339,663,1
8863,15114,136,266,1
6212,15229,337,658,1
11504,15259,283,554,1
2793,15231,426,833,1
9025,15084,327,639,1
732,12202,30,27,128
7781,15084,183,358,1
12648,15230,291,569,1
634,14991,1007,1969,1
9575,15086,483,944,1
9454,15247,532,1041,1
9484,15292,154,302,1
14316,15235,291,568,1
4651,15200,236,461,1
7676,15175,157,306,1
3640,3641,9,8,1
7372,14990,810,1583,1
2676,15260,339,662,1
1562,1563,37,33,204
4941,6438,24,16,300
11288,12868,81,52,316
10440,15144,92,180,2
7073,15134,175,342,1
6368,15015,406,793,1
4416,15187,124,243,1
1301,15007,366,716,1
2540,15187,166,325,1
559,5352,10,9,28
13542,13543,36,19,863
2123,15113,619,1209,1
9051,15117,211,413,1
6790,6923,34,22,322
2577,15144,325,635,1
8035,13467,140,122,1
2765,6901,5,4,1
11921,15283,19,37,1
5566,5567,6,4,419
5684,15023,439,859,1
2867,2868,5,4,12
