u,v,w1,w2,w3
2312,5899,81,70,1
14694,15061,21,40,8
14965,14200,255,499,1
4183,7557,6,5,4
1193,1182,106,95,131
10963,14992,228,445,1
11757,15042,349,682,1
614,6373,6,5,1
7396,14991,132,259,1
7794,12714,40,38,386
15021,14463,194,378,1
2794,15231,414,810,1
329,15232,311,608,1
2788,2789,52,45,1
12272,15168,151,296,1
2572,2574,3,2,669
13393,13394,58,51,91
3040,15240,334,652,1
5855,3108,24,21,1
9595,9597,33,29,1
14714,14715,46,40,87
7099,15259,327,639,1
8709,15228,280,547,1
11305,15283,261,511,1
11479,15278,144,281,1
2935,15228,167,327,1
15192,2224,304,595,1
8892,15096,118,231,1
197,15165,260,508,1
15028,9386,341,666,1
4824,4825,5,5,1
1318,14984,438,856,1
9872,15209,397,776,1
13721,14957,633,1238,1
1798,15088,563,1100,1
5730,15004,405,791,1
15027,5929,89,174,1
13492,13962,9,9,564
5373,5374,53,46,5
10596,15255,258,503,1
3934,15215,239,467,1
11503,11502,10,9,107
2115,15091,378,740,1
7852,15071,118,232,1
7301,15147,223,437,1
4283,15165,402,786,1
11577,15027,169,331,1
11194,15035,325,636,1
9658,9667,135,118,24
13944,15095,63,122,1
12943,15221,100,196,1
1623,1627,65,39,1
13703,8393,132,59,133
12455,15229,309,603,1
2818,5916,22,19,1
8486,15160,157,307,3
1512,1515,84,77,274
13522,13523,437,190,1
3059,15089,298,582,1
9756,15175,89,174,1
4148,14994,110,214,1
3421,15094,193,377,1
15032,3693,293,572,1
236,15318,267,522,1
3820,15063,275,537,1
5328,15019,418,817,1
5260,15171,259,506,1
3328,14969,472,922,1
3067,3073,39,37,358
15274,10269,49,97,1
9820,12410,82,71,1
7035,7036,270,117,1
10057,15047,198,387,1
11814,11815,69,61,116
13429,13430,34,21,140
1497,1499,137,119,1
1873,15084,353,690,1
14190,14660,77,70,198
6873,3071,146,128,41
13866,14502,13,8,1
6834,7203,60,52,64
727,14954,440,860,1
5829,15253,417,814,1
15192,4684,412,805,1
10788,15167,130,254,1
4058,4064,3,2,1
14771,14772,22,19,1
1222,15285,347,678,1
5009,15108,55,108,1
14862,15151,259,507,1
9396,15208,87,171,1
3606,14979,425,830,1
8586,10117,35,30,12
5692,15143,3,7,1
9853,15150,328,642,1
12682,8394,58,37,338
4765,4766,14,9,43
5556,13742,562,244,1
13052,15088,334,652,1
13202,15265,170,332,1
