u,v,w1,w2,w3
5990,5987,6,5,11
178,179,16,8,440
14973,8151,160,312,1
15221,13188,130,254,1
5894,5895,29,26,181
15317,1726,445,871,1
15080,9574,387,757,1
15055,3834,377,736,1
7334,7326,40,35,1
2799,2800,190,165,1
3571,3573,63,56,167
9249,9250,25,22,57
15071,6752,329,642,1
15093,7346,676,1321,1
15218,11109,396,775,1
15158,10898,64,126,3
12154,10334,31,27,1
15119,10527,332,649,1
4694,13542,203,96,402
5338,5339,17,16,371
2751,2753,93,81,1
1208,1226,43,40,247
15021,13417,237,464,1
14997,5491,156,305,1
4944,15038,639,1249,1
7212,7213,1,1,104
15038,2268,756,1478,1
1874,15084,349,682,1
7815,7816,80,70,1
3825,3823,36,32,122
399,400,4,4,1
15204,5114,205,401,1
15052,10498,162,317,1
9194,9196,41,36,1
15260,2678,313,612,1
1881,1880,14,12,1
15216,4690,323,632,1
1729,1728,21,19,33
15115,7968,569,1113,1
13695,13688,481,257,849
14976,1338,441,862,1
7159,7071,520,232,155
2023,2024,77,67,1
15218,8133,327,640,1
15295,8633,314,614,1
6836,8373,67,59,9
15119,4952,52,101,1
3667,5127,7,6,1
15071,6628,385,752,1
15293,7247,444,869,1
11679,12938,21,19,87
2979,2980,112,98,9
15097,14710,109,213,1
667,6368,146,91,190
2208,4318,100,87,8
373,14153,50,43,2
15293,8759,297,580,1
13223,13370,54,47,1
2132,5877,65,77,1244
1812,1814,5,4,4
15279,3142,260,508,1
13137,13413,147,129,46
15056,4927,459,897,1
5977,419,160,158,537
14964,4013,434,848,1
7499,7500,75,65,1
9820,9022,16,14,6
4138,4137,4,2,1
5845,5850,55,34,112
11582,6526,4,4,1
897,901,39,24,166
14991,7186,293,574,1
9403,9405,40,28,701
2471,2470,29,33,1145
9481,11550,36,31,1
228,15244,98,191,1
11059,8179,44,58,1722
14168,14330,21,18,82
1320,1321,16,14,1
7917,7918,39,35,79
13798,9851,6,5,343
9904,6172,6,5,28
2685,2688,79,71,164
11161,11159,86,83,469
15134,7114,175,343,1
10528,13524,73,64,13
6390,6392,51,45,149
4121,4123,51,31,150
6547,7343,66,57,1
779,5280,6,5,12
812,814,87,52,1
15046,1112,479,937,1
2825,2826,84,77,254
15040,1824,95,185,1
4572,4570,7,4,316
10661,10663,127,57,186
10884,11115,65,56,1
3283,3386,5,5,60
1483,1486,40,36,126
15137,11021,156,304,1
