u,v,w1,w2,w3
15081,5726,257,502,1
15088,13878,342,668,1
108,109,128,112,43
4656,4655,139,121,1
6092,518,71,31,73
1108,1109,2,2,1
15026,6497,382,746,1
15171,5613,327,640,1
15261,9546,151,296,1
7349,7348,82,79,479
15174,6099,249,487,1
4474,4475,63,60,441
3597,9227,29,29,496
8293,13996,81,65,1180
407,408,25,22,8
3198,3201,50,44,46
6394,4461,34,30,28
3059,3061,1,1,530
14963,6186,435,850,1
14849,14850,32,28,156
3392,3391,1810,1097,47
1159,5668,4,3,22
9497,9498,35,30,16
5969,5972,85,75,112
7039,7042,307,135,71
11154,2538,60,56,333
528,2918,4,3,24
4367,4368,5,5,133
4838,5214,49,42,16
8701,11329,81,70,1
4076,4077,38,33,33
4569,4567,60,53,1
8019,9369,32,29,170
15279,12339,181,354,1
282,2319,64,58,225
15215,4997,157,306,1
8565,8562,80,70,7
641,663,84,73,28
15264,4492,392,766,1
8551,8552,5,4,8
14619,14624,72,43,25
12676,12675,127,80,213
15049,2322,259,507,1
1158,1159,7,6,1
15246,8198,52,101,1
15225,2908,345,674,1
7802,12990,30,26,1
15142,8052,266,519,1
7815,7816,80,70,1
4492,3972,69,61,101
4699,4702,74,75,659
5085,5081,85,75,32
9814,9816,319,192,1
15233,4620,225,441,1
15267,10172,77,150,1
12648,11759,6,5,94
15318,236,267,522,1
1379,3633,51,45,4
15158,9111,99,193,1
7032,7050,34,29,1
2352,13076,147,136,297
12140,12141,32,29,87
3464,3465,39,23,2
8888,12984,46,40,3
15079,6573,362,707,1
2346,9466,29,26,10
15077,1930,328,641,1
7908,14925,49,43,4
15064,10127,304,594,1
9327,9625,81,57,683
2862,2863,1,1,1
1965,1966,5,5,1
15296,10493,162,316,1
15240,8316,298,582,1
15006,12699,348,681,1
15125,8618,424,829,1
9411,9410,48,30,190
15241,8350,272,531,1
15040,8829,158,309,1
493,496,18,15,1
14985,11994,241,472,1
15146,12663,436,852,1
971,5793,68,43,215
12635,13194,105,95,197
10155,10276,81,54,432
6110,6112,146,127,5
2412,2415,206,254,1404
14293,13368,9,6,216
1497,1498,78,68,1
391,7744,147,111,2285
58,14951,255,498,1
14959,10707,211,412,1
13719,13636,180,80,150
14953,6251,546,1068,1
15052,13363,122,238,1
3542,4242,134,118,77
13494,13949,29,20,617
1456,12689,205,137,480
1694,1706,45,39,1
4979,13730,220,100,231
