u,v,w1,w2,w3
3613,14977,418,817,1
8619,15116,236,460,1
4897,15023,843,1647,1
4686,7665,155,135,14
11049,15240,298,583,1
11627,15237,151,295,1
876,2257,40,24,107
13415,15022,287,560,1
11741,15265,101,197,1
7267,15253,407,796,1
1861,15078,263,513,1
10878,14954,76,148,1
14277,15193,345,674,1
9995,15174,320,626,1
11575,15027,390,762,1
9241,15190,190,371,1
12180,15201,85,166,1
6524,15031,506,990,1
5912,15088,450,880,1
2799,9709,56,49,1
4646,15208,411,803,1
7881,15230,116,227,1
11115,15218,351,687,1
901,15040,396,775,1
15274,10176,208,406,1
3203,15272,372,727,1
11688,12520,34,31,248
138,15032,350,685,1
5851,15310,436,853,1
3351,15298,343,671,1
4144,15181,328,640,1
6816,15028,141,276,1
9659,15252,117,229,1
6790,6923,34,22,322
14375,15201,261,510,1
3355,14948,269,526,1
833,6095,9,6,1
3018,12713,70,67,439
2107,15240,299,585,1
2261,15038,775,1514,1
15165,10020,347,679,1
14553,15114,193,377,1
5333,15061,118,230,1
8458,15229,153,299,1
12000,14992,297,581,1
8029,15135,355,695,1
1165,15007,142,277,1
11658,15072,256,501,1
15038,766,412,804,1
3392,15046,1099,2148,1
5611,12214,111,97,1
12050,15234,19,38,1
11052,11053,126,109,15
10749,9250,24,22,256
114,115,18,16,1
1900,1901,15,13,1
13719,14959,441,862,1
960,15054,46,91,1
12321,15151,75,146,1
1396,1397,109,73,486
15028,6091,353,690,1
14893,15206,180,352,1
1847,15081,392,767,1
4722,10848,32,29,251
13906,13904,8,5,38
3099,6359,5,3,1
7689,14483,136,118,7
7792,7790,164,143,47
14991,7402,131,255,1
1241,4329,43,57,1722
10949,13334,9,8,192
14099,15188,319,623,1
12004,12005,35,31,111
11355,15157,101,197,1
8793,15283,191,373,1
13445,13613,265,167,1499
8689,10808,101,89,89
2565,2564,29,25,29
6158,15089,217,423,1
5184,472,56,25,54
7265,14963,227,444,7
14009,14010,32,23,798
7540,7541,40,35,40
9304,15098,179,351,1
14539,14785,55,49,58
9934,14976,425,832,1
6802,15058,287,561,1
11127,15249,251,490,1
5577,13651,45,20,189
8908,15060,321,628,1
3717,3718,112,99,101
5377,15007,89,174,1
13997,15210,280,548,1
8138,15308,276,539,1
3997,14951,479,937,1
13025,14974,104,204,1
8421,15003,50,97,1
13175,13176,63,58,284
14423,15011,293,572,1
14571,15092,260,508,1
