u,v,w1,w2,w3
14986,3794,317,619,1
10502,10503,32,28,1
1234,1235,7,4,124
3958,11765,21,18,16
12581,13544,125,59,341
14115,14111,52,47,166
7297,7291,73,64,16
15019,1375,220,430,1
1083,1084,7,6,253
5558,5559,180,158,63
7634,7635,175,116,1685
248,15093,688,1344,1
13304,12550,54,47,1
15110,12051,168,328,1
14976,1335,553,1081,1
447,451,80,73,276
10888,1305,50,44,76
8356,8354,41,36,1
4957,4959,33,29,17
2502,1725,9,7,33
15119,9000,245,478,1
5853,15260,342,669,1
15127,14866,166,324,1
894,893,126,78,168
3969,3971,143,125,29
15290,10555,338,660,1
5025,10988,59,52,83
14998,8141,26,51,1
10531,12358,36,31,1
2722,2723,81,71,65
3035,3037,10,4,110
15258,10136,53,104,1
12679,15236,207,404,1
4831,5236,40,35,11
12051,9102,81,70,4
9035,9036,37,33,115
6894,6895,122,106,1
5392,5394,4,3,1
7434,7435,3,3,295
12872,12873,41,35,1
15063,3764,372,728,1
15083,8545,84,164,1
9796,11120,72,63,11
14994,4594,272,531,1
12568,12569,179,84,376
7451,15142,273,534,1
15259,10932,391,764,1
3836,3837,56,50,93
12719,12720,35,30,9
12761,12900,80,73,209
15085,9829,280,547,1
3477,3476,39,34,1
2736,12466,36,32,178
6630,6632,1,1,1195
11731,10663,352,210,1285
307,15041,279,545,1
15231,11038,431,842,1
12435,936,52,45,45
1851,1854,5,4,1
13978,13977,42,30,661
15048,14248,371,726,1
6487,13530,245,220,171
10111,10114,40,35,73
8849,8850,40,35,40
14976,2435,275,538,1
9987,5987,72,63,17
11086,11091,35,27,1088
3785,1280,72,78,913
8001,15176,339,662,1
4911,5181,47,42,189
607,11315,94,106,1070
15268,3111,436,852,1
3614,3617,41,36,49
6255,6251,168,75,135
2342,9430,80,70,10
1888,15079,342,668,1
5436,5438,59,51,8
9826,11244,72,63,1
12866,12865,35,31,57
11630,10889,80,69,1
6944,14476,34,32,363
15016,7939,213,416,1
15220,12328,71,139,1
2515,8915,44,38,5
15012,3097,1000,1956,1
6854,15137,299,585,1
7501,7503,3,3,7
11846,11844,40,35,112
15212,9878,195,382,1
13304,13306,53,46,1
6682,4546,80,71,142
11446,10830,64,42,398
6150,6148,58,54,326
609,612,86,75,1
15080,2000,344,673,1
6866,5848,65,40,112
1459,6429,46,44,439
7485,7474,37,32,1
657,15015,365,714,1
4324,4325,78,71,218
10557,11767,34,29,1
9877,12094,81,72,131
15145,10336,95,186,1
3650,3652,3,3,1
2418,2422,81,100,1393
8413,8414,39,35,81
15002,8223,90,176,1
14567,14569,70,61,1
15236,10411,197,385,1
3270,3268,49,44,225
7973,63,40,28,617
5340,9310,111,105,371
2108,3053,15,13,1
15144,9105,179,350,1
4605,3639,25,22,1
4673,4681,2,2,1
15212,9369,81,158,1
15088,1797,512,1001,1
15023,4896,878,1716,1
13860,6223,31,20,356
4773,7893,31,27,40
15258,10130,30,59,2
1770,1771,65,29,147
12669,9405,47,32,602
23,25,54,48,133
158,172,474,285,1
3563,3565,345,311,190
15089,7150,340,664,1
1760,1761,82,36,7
1399,1400,13,9,486
9118,9120,81,70,4
8581,8582,38,33,1
15254,9519,85,166,1
15170,12867,128,250,1
3212,3214,31,27,10
577,14984,525,1027,1
857,856,7,6,23
8726,8727,39,43,942
14078,14062,373,181,500
9391,9392,44,27,70
10311,4507,30,26,33
4433,4435,5,4,125
10522,10523,31,27,22
15097,8231,67,131,1
10830,11447,89,57,287
338,15231,253,495,1
2063,2064,77,67,1
68,5955,138,129,355
5279,776,82,52,224
10453,10455,81,71,1
1137,1140,7,6,14
2979,2980,112,98,9
15027,4804,786,1537,1
15274,10975,56,110,1
2653,2654,17,10,68
15049,2322,259,507,1
796,798,75,70,326
2807,2811,16,14,6
2613,2615,30,26,117
15197,8500,241,471,1
1213,5840,7,6,1
5087,5091,39,36,275
15250,6601,271,529,1
6877,6879,27,24,3
15088,9144,334,652,1
6286,6288,26,23,74
4595,4594,32,28,100
6937,6939,22,19,1
15250,7820,198,386,1
15218,10883,273,533,1
14989,9595,79,154,1
1146,1149,162,143,85
5064,5065,102,89,10
11909,14178,14,13,197
10231,10232,68,60,83
6471,6472,190,83,24
13799,15154,365,713,1
7350,7348,55,48,24
1877,1878,4,4,1
656,657,369,226,109
393,15144,287,561,1
12623,6935,55,47,5
852,853,64,41,322
11923,11925,42,37,1
15133,10991,246,481,1
1932,1933,43,38,43
15054,1000,14,27,1
4914,15066,393,768,1
2180,2182,119,77,308
2242,6548,4,3,341
15133,13523,315,616,1
5881,5880,51,45,1
2311,5122,20,17,52
15062,5401,78,153,2
14939,14940,71,62,1
3093,3094,15,13,1
15247,11368,394,770,1
8139,8141,76,66,39
1234,1236,53,34,326
15263,3952,330,644,1
15265,10796,328,642,1
6349,6348,82,72,66
8022,8020,40,35,92
15088,14595,277,542,1
4972,4974,35,18,669
6804,6805,24,21,54
15144,1771,276,540,1
15280,13308,39,76,5
9683,88,92,80,47
260,259,20,18,105
5993,2262,42,26,30
5028,5026,46,46,611
14983,1157,1062,2077,1
6458,10559,61,53,70
14990,14587,1020,1993,1
15197,14697,183,358,1
4346,4352,204,238,1187
1835,1837,78,68,19
2322,2323,84,91,908
5157,11839,4,4,100
365,368,193,167,1
4382,4378,40,35,17
15095,2350,285,558,1
6913,6914,16,17,813
15204,14194,238,466,1
12803,12805,163,152,340
1358,10443,62,55,163
3441,15021,286,560,1
15007,5144,400,782,1
1735,15149,258,504,1
3162,3163,43,40,369
15053,854,60,118,1
1097,5584,432,376,4
1942,1947,23,21,211
1810,1815,4,3,3
15123,4134,269,525,1
10004,10005,76,67,32
6313,6321,10,9,22
14952,14937,493,964,1
14989,9596,81,159,1
15011,2865,423,827,1
11509,11510,36,32,25
15047,6374,380,742,1
6350,14482,78,68,1
9362,9363,40,35,85
6907,14794,12,10,58
15295,10464,191,372,1
15030,6658,454,888,1
3718,3720,126,110,55
7141,7071,191,83,2
13725,13727,34,16,489
12195,8788,34,30,123
6675,6677,26,22,1
478,5002,60,52,18
4833,5236,40,35,1
1370,1368,54,47,54
648,1069,394,267,515
8842,8840,39,34,29
12869,12871,55,48,1
15112,6916,352,688,1
15020,103,78,152,1
15204,5046,203,397,1
15059,470,364,712,1
399,402,64,56,8
2136,3433,91,61,498
724,13549,24,10,7
11284,10349,45,40,44
3150,3151,2,2,62
9140,695,209,93,117
1898,9557,23,20,12
2066,2067,60,38,220
15232,11290,234,457,1
9614,3089,62,54,1
15256,7441,443,866,1
15242,3395,341,667,1
12289,8554,43,37,30
6296,6297,78,74,350
13369,13264,25,24,509
4788,4789,4,4,91
14983,7416,611,1195,1
7552,7554,12,10,1
14137,13246,11,10,1
7399,7390,14,12,1
14016,14014,9,8,1
14991,3657,272,531,1
2032,8822,114,99,1
8035,13468,135,118,29
7234,7034,31,27,13
15151,13488,376,736,1
69,6853,2,2,392
9236,13068,28,25,44
8609,8613,96,59,143
6125,6843,60,52,13
1942,1946,141,133,373
15005,5760,237,463,1
4286,12971,17,12,429
3407,3406,67,44,404
12055,3938,54,49,147
978,980,57,36,209
1566,1567,14,12,3
6695,3392,203,123,47
15241,13041,153,299,1
8889,8890,40,35,64
2961,2975,237,112,373
15047,6636,428,837,1
9373,9374,45,39,9
4210,4346,426,370,1
11318,11272,61,55,182
14554,7714,153,182,1269
15296,5060,279,546,1
4588,4585,7,6,25
4228,4229,80,69,1
6964,7056,782,344,84
399,401,49,44,141
9111,9112,41,37,135
6161,9566,138,120,1
15284,14719,312,610,1
14981,8390,126,247,1
11435,11436,40,25,201
9293,9139,23,20,11
15255,8991,337,660,1
13956,13955,79,52,391
15033,6514,438,857,1
6765,5088,80,71,100
15226,11622,177,345,1
13563,2740,251,113,208
7939,10381,36,32,1
516,513,5,4,253
15037,3695,400,781,1
2034,4433,31,21,415
15213,2531,161,316,1
4948,4946,63,55,30
9443,9444,125,83,451
5559,1412,65,31,400
15272,4170,290,567,1
2660,2661,6,6,23
4058,5534,5,5,1
15253,2982,359,702,1
2250,4658,161,133,1303
6934,6936,9,8,135
15167,3474,271,529,1
13186,9308,65,58,143
15161,4780,355,695,1
12414,12415,22,20,50
4594,4596,35,15,74
4660,9623,80,56,661
974,3504,35,32,210
2657,2658,26,16,68
207,208,6,2,1
8714,8715,107,95,116
6696,6698,18,16,112
7103,10364,40,35,15
15172,10317,53,104,1
9922,9919,32,28,46
15110,2285,263,515,1
7244,4704,7,6,2
15127,14869,184,360,1
6513,6512,128,111,1
15246,6104,56,109,1
15201,10698,245,479,1
927,15005,210,410,1
15085,11930,269,527,1
4635,10041,14,13,303
3184,3185,60,57,377
7663,7664,89,77,4
7097,7095,43,39,231
7379,7258,2,1,135
7843,12499,2,2,36
15068,8400,298,583,1
14381,12185,39,43,967
13182,13181,58,26,94
15034,9313,352,688,1
9374,12490,34,30,12
14957,8446,82,160,1
15202,2870,379,741,1
4324,4326,28,24,17
15085,11893,213,416,1
14990,6362,847,1657,1
10316,4501,33,29,99
162,13496,6,5,1
10994,10995,57,49,12
9758,9759,109,95,1
8010,12122,94,82,48
14055,14074,316,275,1
889,894,7,5,169
7820,7822,33,29,30
13452,6217,62,54,1
633,634,47,41,26
14986,13766,334,654,1
4997,4998,29,26,90
1652,1653,112,97,1
14556,13035,161,147,260
15124,698,282,552,1
3134,3135,4,3,61
13712,574,143,74,734
2240,8731,77,84,943
835,838,73,45,165
14066,14948,496,969,1
15085,6960,432,844,1
13311,13312,30,26,1
15171,5614,241,470,1
6833,6834,3,3,64
3756,3758,63,67,781
11079,11080,63,56,131
2592,5885,41,18,206
15004,1263,312,610,1
982,3889,30,19,371
2509,2841,104,90,1
3900,3901,30,27,55
15037,3696,404,790,1
15148,14083,339,662,1
7792,11723,69,60,63
15123,2819,166,324,1
2506,13791,291,127,1
14955,813,792,1547,1
8035,13156,96,83,14
2099,2100,76,66,1
15058,4810,443,865,1
4925,6526,71,69,480
7299,8686,61,53,31
8713,8712,80,72,138
14948,14540,320,625,1
15143,2828,157,307,1
14984,7565,699,1366,1
14995,7467,103,201,1
14985,7978,277,542,1
3247,3248,76,66,9
1879,1880,39,34,1
13139,13354,99,44,127
4816,4818,26,22,3
1284,5900,6,5,1
15244,11301,93,182,1
15119,5885,302,590,1
5824,9058,31,19,162
8569,4796,20,18,64
14989,1413,428,836,1
15211,4786,110,214,1
10284,10283,35,31,1
2816,2818,31,32,631
5885,2581,63,28,22
15025,4807,757,1480,1
6107,6108,113,98,4
15202,2873,155,302,1
9403,9404,37,23,176
15071,12531,176,345,1
13376,5312,54,47,48
13923,13922,82,50,58
913,1049,20,12,1
15103,4423,370,722,1
14991,7402,131,255,1
3107,2679,6,5,1
5153,15320,325,636,1
15047,684,326,637,1
524,525,37,42,1079
7696,15247,419,820,1
829,1446,63,58,283
14069,14043,115,100,16
15163,10806,299,585,1
9648,9646,59,55,307
4214,4213,9,7,12
247,2138,55,34,57
5064,15178,209,408,1
14645,14647,53,53,554
14650,14644,36,43,1293
1959,1903,5,5,270
1862,1861,5,4,1
1412,1414,8,4,397
6913,6915,164,142,5
15077,1928,295,576,1
7262,9606,41,26,181
10155,10276,81,54,432
2429,2430,92,80,37
1746,14948,263,514,1
4111,13898,102,61,13
957,956,27,18,446
4260,4255,4,4,262
15115,10979,310,606,1
14994,4598,235,459,1
4156,4157,72,63,1
15176,12879,311,609,1
15202,5118,310,606,1
15064,4894,19,37,1
15023,142,216,422,1
1044,1045,35,31,141
1415,1418,158,140,117
2989,15254,303,592,1
921,15286,403,787,1
4935,15182,336,656,1
15204,5110,137,267,1
2486,3378,119,73,119
126,128,29,25,36
2468,15166,291,568,1
11334,13215,2,1,361
1887,15086,291,568,1
3480,12306,66,57,10
8512,8513,35,33,298
1993,15163,106,207,1
8898,8900,64,56,2
12989,12991,100,61,123
8180,8178,70,93,1722
