u,v,w1,w2,w3
15264,13205,354,692,1
3926,3927,5,4,118
15247,6430,304,595,1
1756,13810,216,94,37
15057,6787,287,561,1
6200,6199,18,16,125
14963,6188,427,834,1
15276,9916,270,527,1
12251,1557,6,5,1
1824,1830,32,28,187
1497,1498,78,68,1
15073,2023,224,439,1
10007,10009,133,148,995
15253,2019,374,731,1
6911,6912,1,1,325
15093,3104,367,718,1
5043,5094,54,47,3
4059,4062,3,1,116
15172,12982,217,425,1
2884,5669,46,48,824
1760,5229,26,11,7
9317,9319,105,96,263
8439,6271,40,37,314
432,425,84,73,6
15038,4238,644,1259,1
1594,1596,22,19,106
15023,6957,893,1745,1
15204,1733,350,685,1
14964,8590,268,523,1
15093,7139,657,1285,1
14970,14395,498,974,1
4960,4961,52,45,17
15135,8008,115,225,1
5103,5102,79,68,1
13217,12721,33,29,9
5601,7915,39,34,28
15234,8348,212,413,1
824,5833,67,45,468
13293,1330,244,212,1
8664,8665,14,14,468
9157,9159,39,34,31
419,5979,46,40,41
415,411,74,73,546
8907,13366,201,176,44
2630,3807,26,25,372
10899,10901,81,80,526
14984,1172,620,1212,1
6086,150,35,21,118
4384,4387,14,12,17
13271,13030,10,9,9
2243,14013,9,7,1021
15118,10242,93,181,1
15273,11847,95,185,1
13663,4773,31,14,305
6852,70,4,3,1
15133,14503,389,760,1
15276,1394,295,577,1
1841,2006,186,162,1
1697,1701,9,5,50
15294,9406,220,430,1
14964,7232,143,280,1
12323,12324,17,15,275
12308,12309,20,18,275
14995,4751,272,531,1
8777,14955,551,1077,1
396,1547,35,30,19
5556,13743,117,58,522
8154,8153,39,34,18
14144,6484,17,15,1
1202,1456,115,103,152
13766,6079,195,85,1
9031,9032,13,9,591
15088,13887,168,329,1
3645,6101,10,9,1
11977,11193,107,93,1
15145,9163,219,429,1
1077,1079,977,588,7
15038,5446,264,516,1
15099,10662,305,597,1
90,93,2,2,92
4820,4821,13,11,1
5641,15060,36,71,1
3954,3955,54,53,544
918,919,7,6,1
8847,8846,33,29,48
15191,8636,364,712,1
14040,14042,62,54,10
13546,3974,8,7,1
6369,6368,30,18,1
8306,8307,23,20,199
2386,15069,308,603,1
3656,5456,98,85,1
7834,7835,17,16,288
13262,12056,87,76,1
14746,14749,16,14,4
14975,14360,136,266,1
4342,5158,46,29,307
15136,8817,171,334,1
15046,5672,1138,2225,1
7284,7285,6,5,1
2783,2784,114,103,207
15296,7910,280,548,1
13492,13976,40,28,661
15044,8756,72,141,1
10771,11155,30,27,126
3318,3319,65,63,512
566,11099,178,106,1251
298,300,99,87,95
15018,2238,506,989,1
15058,11060,365,713,1
3132,3488,79,69,61
2228,2229,47,41,5
14996,1037,366,715,1
15115,7970,431,843,1
15020,6939,110,215,1
7038,7347,580,252,3
15120,13916,98,192,1
3976,4331,61,53,1
