u,v,w1,w2,w3
3594,3596,18,8,31
9162,9164,59,53,201
2128,2130,55,77,1952
14974,8336,151,296,1
15025,11743,217,423,1
11323,8697,80,70,19
12079,12080,82,71,1
6191,6198,3,2,1
9331,9330,4,3,786
2245,11274,49,42,1
12392,12653,131,113,1
15026,4398,211,412,1
14990,7507,929,1815,1
15126,5133,179,349,1
15136,8817,171,334,1
13513,14223,10,8,1
14959,8773,153,299,1
15145,14653,70,138,9
13039,8164,19,17,20
1428,1431,100,93,300
8296,11357,35,30,1
15047,9409,322,630,1
9826,11244,72,63,1
14947,3704,276,539,1
15174,6099,249,487,1
12477,12478,45,41,217
4162,4163,67,76,1070
7087,10820,39,34,1
7820,7822,33,29,30
15065,4917,299,585,1
3999,9184,160,143,177
2102,15240,198,388,1
10165,10166,53,48,220
9037,9035,37,32,51
15144,4130,324,634,1
14946,7130,967,1890,1
15171,5632,249,486,1
15119,9000,245,478,1
5718,5708,49,32,407
7250,11873,14,12,81
5934,5935,40,36,145
15221,4495,125,245,1
15121,9129,273,534,1
15287,883,271,529,1
13515,13649,598,261,29
14971,1566,148,289,1
15115,7546,363,710,1
5650,5651,30,26,23
15007,1301,366,716,1
9092,9090,18,15,1
15086,1981,302,590,1
6790,6791,44,28,322
3356,3355,63,54,3
15049,2151,442,863,1
15270,10371,78,152,1
843,3000,7,5,337
15113,7550,402,785,1
7865,7866,12,10,137
211,215,166,89,859
11581,6526,40,39,480
3050,3049,8,7,1
29,38,122,106,1
15018,71,501,979,1
15006,12377,671,1312,1
15083,1813,197,386,1
15135,12118,193,377,1
14970,456,254,496,1
15011,1647,527,1029,1
7330,7331,63,55,1
7785,7787,3,3,1
12911,14642,29,26,246
1840,1848,7,6,1
1994,1996,7,6,1
15089,6160,214,418,1
15100,10109,243,475,1
11263,11264,17,10,75
9311,10190,73,64,1
2296,2312,158,137,1
15085,10573,214,417,1
2630,3807,26,25,372
14991,631,1065,2082,1
14513,1523,83,53,340
2580,2585,45,41,230
4016,4014,77,67,2
11969,11974,15,13,43
15229,8462,83,161,1
6728,6727,2,2,1
8920,8167,143,124,1
9419,9421,55,35,233
15211,11328,190,371,1
747,749,52,32,139
3828,3830,57,52,226
14952,2145,630,1231,1
14984,1306,342,669,1
3679,3678,77,70,269
9160,4574,121,59,479
10970,10971,33,28,11
9582,9584,26,23,31
15292,1224,167,327,1
1054,1055,80,70,72
196,198,92,90,541
4409,4082,285,253,118
15123,4132,380,743,1
5599,5618,40,34,1
1737,10525,31,27,19
15139,10608,159,312,1
3956,3953,7,6,5
4794,4795,58,55,358
