u,v,w1,w2,w3
13625,14106,118,69,1225
15293,5923,577,1128,1
319,5532,53,80,2278
2033,4431,12,9,769
9763,9762,88,78,105
1807,2329,120,104,5
1103,1104,50,44,2
826,825,6,4,1
15027,13604,791,1547,1
8196,8197,40,35,57
8619,8620,84,55,365
10061,10062,16,13,1
11961,11963,107,98,262
6612,6611,5,3,14
15219,12643,123,241,1
2216,13205,9,9,584
12001,13232,23,20,1
14988,12129,238,466,1
15112,7424,42,83,1
12022,12480,20,17,4
5919,8721,120,112,339
1167,1169,122,78,273
14247,14248,35,31,1
15265,10851,161,316,1
2492,2490,112,97,1
15099,4073,396,774,1
4616,4619,1,1,12
15283,343,118,231,1
5842,13300,60,52,71
4536,4540,38,33,31
15032,3678,783,1531,1
2599,2600,40,37,232
15065,111,631,1234,1
2814,10256,75,67,114
1312,1631,85,51,1
14971,404,150,294,1
2205,7711,30,27,29
13392,7938,79,70,113
13171,11393,23,20,92
14975,1669,106,208,1
2,15063,312,610,1
5601,7915,39,34,28
1770,1772,59,39,397
15284,297,51,100,1
15088,5621,777,1520,1
3591,3593,24,22,227
15286,1243,185,361,1
5464,5408,86,74,1
15126,5133,179,349,1
15038,9375,625,1222,1
15145,14509,100,196,1
14614,14634,69,42,80
9960,12612,104,91,1
13752,13783,207,90,3
7785,7786,56,49,14
90,93,2,2,92
8153,8152,42,37,18
4149,12112,22,19,29
1055,11697,44,39,72
14070,6909,8,7,9
14957,6467,456,891,1
13153,13755,361,320,111
13036,13034,20,17,38
11066,9319,33,30,263
14989,7639,285,556,1
15238,3360,206,403,1
8754,8755,36,32,76
15058,1182,158,309,1
4230,6302,80,70,16
4932,4934,38,36,350
2223,13390,43,37,1
6649,6651,9,8,1
13913,13912,5,3,98
15228,5211,320,625,1
4581,4579,5,4,1
3607,9925,130,113,35
15061,14187,96,188,1
8634,8632,12,8,97
10365,11528,26,23,122
180,175,160,143,144
165,15165,101,198,2
15155,5041,253,494,1
5885,2581,63,28,22
15054,10031,328,641,1
9595,9596,35,31,1
12040,12039,11,10,496
2521,2524,97,92,402
15073,2492,203,397,1
15198,13991,65,127,1
3552,4843,52,46,65
15093,7138,698,1365,1
2916,528,6,5,37
3313,3314,160,102,279
15259,10040,84,164,1
15145,9163,219,429,1
15283,1443,324,634,1
6369,6368,30,18,1
8714,8715,107,95,116
3926,3927,5,4,118
15073,2023,224,439,1
5641,5649,1,1,184
7550,7551,93,88,406
14975,14364,330,644,1
15230,5857,292,570,1
14963,6755,500,977,1
7486,7490,463,402,1
5681,5683,400,348,6
13790,13791,551,239,1
15110,13690,127,248,1
15132,8578,165,323,1
5352,558,8,7,2
7621,9635,13,12,232
4901,15061,278,543,1
15230,6227,418,817,1
15052,10498,162,317,1
14955,11970,598,1170,1
15126,216,272,532,1
2375,5604,15,13,69
15101,8984,346,677,1
15010,14349,455,889,1
2590,7510,164,143,1
1276,8786,80,69,22
6075,6076,46,40,1
9120,9180,39,34,18
20,22,90,79,46
1056,1058,15,9,24
4929,4930,7,6,1
2678,3106,27,24,1
2569,2567,74,65,70
14954,5170,197,385,1
67,5954,23,22,355
15084,1879,332,649,1
15136,6021,177,346,1
15124,13652,262,511,1
14956,1600,334,652,1
11699,11702,3,3,202
14997,896,390,762,1
14860,7925,98,85,3
15010,14342,356,696,1
15028,10115,300,587,1
15086,4269,235,459,1
1630,1296,244,212,1
13792,14102,171,98,1109
15313,8996,278,544,5
11457,11456,80,51,287
15029,5326,162,317,1
10668,4410,165,144,48
10698,14380,23,22,281
14966,11510,159,311,1
14494,14503,18,8,32
4784,4785,9,8,91
5824,5827,41,25,162
3967,3968,78,68,29
7248,9385,48,32,402
1887,1890,128,111,1
614,7514,63,55,1
15277,11326,160,313,1
15042,7801,355,694,1
15197,14692,150,293,1
1803,1804,7,6,8
15190,11916,334,653,1
4113,15125,325,636,1
6078,6080,4,4,9
7273,7271,339,294,1
4003,7666,253,225,128
15032,7285,361,705,1
15192,10410,85,167,1
5556,5175,159,77,498
688,689,57,34,1
4599,4600,31,28,265
15077,1899,145,283,1
6071,3033,39,34,1
5542,5548,1,1,229
15001,12232,220,430,1
11216,12245,15,13,20
8943,8944,79,73,257
12577,11283,44,39,44
14955,8120,343,670,1
15288,12472,208,407,1
2170,2172,40,25,123
14954,11309,297,581,1
7970,7968,158,143,196
14781,14780,79,73,254
15250,8430,141,277,1
13744,13735,183,89,523
15089,7154,92,180,1
15158,9101,191,373,1
1992,1993,41,35,4
13389,6181,40,35,70
6962,6963,188,82,1
4373,4374,14,12,17
15143,8531,235,459,1
14962,12218,178,348,1
15152,9855,228,445,1
919,15004,306,598,1
15039,4223,311,607,1
15275,12598,232,453,1
5706,5700,125,108,1
14981,1383,183,358,1
15125,8612,446,873,1
9030,9028,34,30,4
10409,10406,71,62,28
3734,10638,261,227,1
15088,14595,277,542,1
15010,424,358,699,1
15078,11584,371,725,1
14860,14859,61,54,37
15279,3168,344,672,1
3764,11780,31,19,35
8907,13366,201,176,44
15245,3556,135,264,1
15171,10696,219,428,1
4899,4900,25,22,1
9140,5534,47,21,104
998,1004,148,93,209
10085,10086,113,102,184
14983,7477,828,1618,1
14981,11688,114,224,1
15209,4246,272,531,1
3845,3841,27,25,271
12966,12967,35,31,9
15126,4055,250,488,1
7793,7794,40,38,386
8765,8526,58,51,29
559,562,3,2,28
8761,11186,154,139,183
11542,11543,32,28,2
15160,716,301,588,1
15146,7920,306,597,1
6175,6177,32,28,15
10107,12396,46,40,1
6355,6356,5,3,1
9403,9405,40,28,701
15277,1448,292,570,1
15195,6804,327,638,1
4872,12158,41,36,7
15225,7627,352,688,1
15261,6417,76,148,1
3380,3381,36,26,743
8900,14931,33,30,178
5496,5495,124,108,1
11761,8343,28,25,185
15159,9628,214,418,1
15255,9249,125,245,1
1286,11278,82,72,53
1918,11952,153,157,699
6349,8157,80,70,15
744,15040,479,937,1
15158,9534,196,383,1
1444,1443,17,15,210
15254,3211,373,729,1
775,6283,60,36,20
5864,5866,16,14,26
14965,12776,149,292,1
9261,9262,98,85,4
5838,10554,53,47,88
15136,587,328,641,1
15119,11805,331,646,1
2586,2835,39,34,142
15320,3548,161,314,1
13616,13539,263,125,400
15009,1557,178,348,1
11622,7242,145,129,116
15049,281,131,257,25
15041,9417,547,1070,1
15011,374,170,332,1
15296,13175,173,338,1
1458,1461,80,71,104
8988,8989,93,81,1
11729,11730,78,67,1
5345,4459,80,71,147
5384,5386,27,23,1
1261,15019,495,967,1
7376,7378,37,33,106
15005,11371,148,289,1
15169,13971,283,553,1
15232,329,311,608,1
526,528,34,30,24
15147,5040,409,799,1
5989,6437,80,100,1467
4268,11244,102,88,1
3286,3287,18,16,142
1145,1144,5,3,1
9390,12619,34,29,1
3700,6501,73,66,225
15038,751,586,1145,1
4270,4272,502,436,1
14101,14100,138,64,287
10418,10419,37,33,98
15295,13195,317,620,1
8609,8613,96,59,143
2022,7828,37,24,412
15167,10789,151,295,1
15146,12662,251,491,1
5502,7684,8,7,1
15177,3082,321,627,1
5555,13572,563,265,366
14987,4183,341,666,1
14966,9671,343,671,1
3224,3226,78,68,1
15271,3116,163,319,1
1183,1187,179,156,1
11229,11163,31,27,32
4924,4926,49,46,408
228,229,32,28,1
15157,11672,271,529,1
15160,9703,228,445,1
15120,14640,101,197,9
15249,9532,157,308,1
15048,11634,692,1353,1
791,792,142,85,19
3542,4242,134,118,77
11693,11719,39,34,16
11814,11815,69,61,116
15076,11666,284,554,1
7851,12532,61,53,1
1435,8653,80,50,156
4213,4212,406,354,26
269,278,48,42,147
1573,11330,19,12,1
5210,6641,14,12,129
11041,14328,32,28,1
6028,6032,30,26,1
15136,5574,61,119,1
1415,1419,22,19,92
15209,4241,288,562,1
4547,10114,37,33,73
13832,13833,5,4,63
8321,8322,1,1,12
10884,11115,65,56,1
15267,11537,319,623,1
10934,5198,30,26,1
3938,12801,106,104,545
3650,14527,31,27,1
4621,4623,1,1,12
15290,2726,324,633,1
1137,5330,97,84,1
52,7973,254,110,1
13455,13454,20,19,338
4145,6049,4,2,895
5058,5059,80,85,819
420,423,135,117,6
15142,9356,206,404,1
3787,3790,9,9,612
1824,1830,32,28,187
2033,15194,268,523,1
15077,1990,272,532,1
10949,14148,13,11,1
15099,4830,27,53,1
15143,9076,328,641,1
11948,8804,69,60,1
15175,12899,54,105,1
