3,15063,311,607,1
4,15063,325,636,1
6,15308,267,521,1
9,14946,771,1507,1
10,14946,668,1305,1
13,14946,804,1572,1
14,14946,572,1118,1
15,14946,614,1201,1
16,14946,577,1128,1
18,14947,593,1160,1
24,15131,192,375,1
25,15131,343,670,1
28,14947,628,1227,1
30,15009,1132,2212,1
31,15024,264,516,1
32,15024,156,305,1
33,15024,399,779,1
34,15022,314,613,1
36,15065,412,805,1
41,15056,368,719,1
44,15033,286,559,1
46,15033,158,310,1
47,10692,19,16,39
47,15033,231,452,1
50,15035,65,128,1
52,15133,433,847,1
60,61,10,9,1
60,15031,372,726,1
61,62,20,20,618
62,15031,348,681,1
63,15133,289,565,1
65,15279,89,174,1
66,15279,135,264,1
68,6852,2,2,1
68,15018,550,1074,1
70,5954,24,20,1
70,6853,2,1,1
70,15018,544,1064,1
71,15018,501,979,1
72,15035,170,332,1
74,15035,153,300,1
76,15053,342,669,1
80,15035,322,629,1
82,15026,302,589,1
83,15026,295,577,1
86,15053,345,674,1
88,15026,238,465,1
89,15026,181,354,1
91,92,12,10,1
91,15020,78,152,1
92,15020,73,143,1
94,103,6,5,1
94,15020,82,161,1
95,98,15,14,329
95,15020,87,170,1
97,15028,218,427,6
98,15020,98,193,1
100,15020,320,625,1
101,15020,369,721,1
102,15028,240,468,1
103,104,19,16,1
105,15028,184,359,1
108,13683,39,34,34
108,15028,221,433,1
109,15028,267,522,1
111,15065,631,1234,1
112,15065,630,1231,1
113,15065,628,1228,1
114,116,1,1,1
114,115,18,16,1
114,15065,624,1219,1
115,15065,610,1193,1
116,15065,624,1219,1
117,15065,557,1088,1
121,15065,241,471,1
123,15057,398,778,1
124,15057,338,660,1
125,15028,315,615,1
127,15055,335,655,1
128,15055,329,644,1
129,15111,247,482,1
131,15055,358,700,1
132,15055,305,596,1
133,15020,214,418,1
134,15020,130,255,1
135,15111,183,358,1
136,15020,285,557,1
138,15032,350,685,1
139,15032,343,670,1
140,15111,157,308,1
141,15111,151,295,1
143,15023,204,398,1
144,15111,182,355,1
145,15111,419,818,1
148,15111,92,180,1
150,15101,354,693,1
152,14947,345,674,1
155,14947,132,258,1
156,14947,155,303,1
158,15059,123,240,1
159,15059,165,323,1
161,199,46,40,1
161,15059,217,424,1
162,163,21,10,440
162,15059,187,366,1
165,15165,101,198,2
166,15165,200,390,1
167,4301,6,5,131
167,15165,87,171,2
169,15151,334,654,1
172,15059,494,965,1
175,180,160,143,144
176,15059,328,642,1
177,15059,356,697,1
178,15059,367,717,1
179,15059,375,733,1
180,470,30,20,426
182,15059,245,480,1
183,914,284,171,1
183,15059,119,232,7
184,15059,182,356,1
188,15201,389,761,1
190,193,7,3,77
190,15201,395,772,1
191,192,6,3,217
192,15201,386,754,1
193,15201,401,784,1
194,195,21,9,1
194,15201,383,749,1
197,15165,260,508,1
198,5695,21,21,541
198,15165,365,713,1
199,204,26,23,12
199,15059,182,356,1
200,14564,196,173,97
200,15059,183,358,1
202,15098,73,142,1
203,15027,94,184,1
204,13496,8,7,12
206,15059,256,500,1
207,15201,375,734,1
208,15201,370,723,1
209,15201,385,752,1
210,2472,13,6,3
213,15136,257,503,1
217,15124,309,604,1
218,15126,301,589,1
223,15185,328,640,1
224,225,58,52,125
226,474,26,11,19
226,15185,301,588,1
227,15185,311,608,1
229,15244,85,166,1
230,15185,273,533,1
232,15318,218,425,1
233,15185,268,525,1
234,15318,194,380,1
235,15318,193,378,1
236,15318,267,522,1
237,15244,119,232,1
239,15277,276,540,1
241,15063,377,736,1
245,15232,342,669,1
247,15049,317,620,1
249,15093,674,1318,1
251,15093,665,1299,1
252,15093,610,1192,1
